onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
2159.436209	5.9907945	2	1	1	13	n/a	n/a	n/a
2165.443759	1.1913981	2	2	2	2	n/a	n/a	n/a
2166.64363	1.1913224	2	3	2	20	n/a	n/a	n/a
2167.843306	1.1915341	2	4	2	9	n/a	n/a	n/a
2169.051506	1.1914675	2	5	2	18	n/a	n/a	n/a
2170.251325	1.1914467	2	6	2	15	n/a	n/a	n/a
2171.451307	1.1912958	2	7	2	5	n/a	n/a	n/a
2172.651082	1.1913812	2	8	2	10	n/a	n/a	n/a
2173.850783	1.1914929	2	9	2	20	n/a	n/a	n/a
2175.050612	1.191488	2	10	2	21	n/a	n/a	n/a
2176.250452	1.1915182	2	11	2	22	n/a	n/a	n/a
2177.450297	1.1914737	2	12	2	24	n/a	n/a	n/a
2178.6501	1.1914749	2	13	2	10	n/a	n/a	n/a
2179.850062	1.1914045	2	14	2	17	n/a	n/a	n/a
2181.049796	1.1914799	2	15	2	19	n/a	n/a	n/a
2182.24964	1.1915617	2	16	2	17	n/a	n/a	n/a
2183.449549	1.1913936	2	17	2	3	n/a	n/a	n/a
2184.649277	1.1914989	2	18	2	25	n/a	n/a	n/a
2185.849105	1.1914986	2	19	2	11	n/a	n/a	n/a
2187.048937	1.1914804	2	20	2	9	n/a	n/a	n/a
2188.248913	1.1913502	2	21	2	4	n/a	n/a	n/a
2189.448594	1.1915109	2	22	2	15	n/a	n/a	n/a
2190.648436	1.1914726	2	23	2	14	n/a	n/a	n/a
2191.848245	1.1915056	2	24	2	1	n/a	n/a	n/a
2193.048083	1.1914873	2	25	2	2	n/a	n/a	n/a
2194.247875	1.1915537	2	26	2	24	n/a	n/a	n/a
2195.447865	1.1913749	2	27	2	7	n/a	n/a	n/a
2196.647695	1.1913903	2	28	2	8	n/a	n/a	n/a
2197.847416	1.191467	2	29	2	19	n/a	n/a	n/a
2199.047233	1.1914713	2	30	2	6	n/a	n/a	n/a
2200.247066	1.1915091	2	31	2	11	n/a	n/a	n/a
2201.446913	1.1914799	2	32	2	12	n/a	n/a	n/a
2202.646722	1.191505	2	33	2	1	n/a	n/a	n/a
2203.846553	1.1914713	2	34	2	23	n/a	n/a	n/a
2205.046357	1.1915439	2	35	2	14	n/a	n/a	n/a
2206.246226	1.1914759	2	36	2	18	n/a	n/a	n/a
2207.446032	1.1914955	2	37	2	16	n/a	n/a	n/a
2208.645859	1.1915121	2	38	2	5	n/a	n/a	n/a
2209.845842	1.1913583	2	39	2	23	n/a	n/a	n/a
2211.045533	1.1914992	2	40	2	22	n/a	n/a	n/a
2212.245367	1.1914661	2	41	2	7	n/a	n/a	n/a
2213.445197	1.1914771	2	42	2	8	n/a	n/a	n/a
2214.644984	1.1915338	2	43	2	6	n/a	n/a	n/a
2215.844948	1.1914028	2	44	2	21	n/a	n/a	n/a
2217.044683	1.1914966	2	45	2	13	n/a	n/a	n/a
2218.244529	1.1914345	2	46	2	25	n/a	n/a	n/a
2219.444317	1.1915127	2	47	2	13	n/a	n/a	n/a
2220.644148	1.1915089	2	48	2	16	n/a	n/a	n/a
2221.843983	1.1915048	2	49	2	12	n/a	n/a	n/a
