onset	duration	run_number	trial_number	task	fixation_location	pursuit_amplitude	pursuit_angle	image_id
161883.9349	5.9935394	1	1	1	13	n/a	n/a	n/a
161889.9452	1.1919807	1	2	2	14	n/a	n/a	n/a
161891.1456	1.1919979	1	3	2	6	n/a	n/a	n/a
161892.3459	1.1920272	1	4	2	15	n/a	n/a	n/a
161893.5547	1.1919311	1	5	2	17	n/a	n/a	n/a
161894.7633	1.1921431	1	6	2	10	n/a	n/a	n/a
161895.9637	1.1920445	1	7	2	19	n/a	n/a	n/a
161897.1641	1.1920398	1	8	2	14	n/a	n/a	n/a
161898.3645	1.1921184	1	9	2	1	n/a	n/a	n/a
161899.565	1.1919442	1	10	2	9	n/a	n/a	n/a
161900.7654	1.1920218	1	11	2	1	n/a	n/a	n/a
161901.9657	1.1921119	1	12	2	25	n/a	n/a	n/a
161903.1661	1.1920547	1	13	2	7	n/a	n/a	n/a
161904.3666	1.1920453	1	14	2	5	n/a	n/a	n/a
161905.5669	1.1921697	1	15	2	22	n/a	n/a	n/a
161906.7673	1.1920523	1	16	2	15	n/a	n/a	n/a
161907.9678	1.19195	1	17	2	17	n/a	n/a	n/a
161909.1682	1.19204	1	18	2	2	n/a	n/a	n/a
161910.3685	1.1920346	1	19	2	21	n/a	n/a	n/a
161911.5689	1.2003951	1	20	2	12	n/a	n/a	n/a
161912.7777	1.191993	1	21	2	16	n/a	n/a	n/a
161913.9782	1.1918557	1	22	2	8	n/a	n/a	n/a
161915.1784	1.1920604	1	23	2	25	n/a	n/a	n/a
161916.3789	1.1919484	1	24	2	13	n/a	n/a	n/a
161917.5793	1.1921523	1	25	2	8	n/a	n/a	n/a
161918.7798	1.1919498	1	26	2	23	n/a	n/a	n/a
161919.98	1.1921625	1	27	2	20	n/a	n/a	n/a
161921.1804	1.1921053	1	28	2	4	n/a	n/a	n/a
161922.3808	1.1920492	1	29	2	23	n/a	n/a	n/a
161923.5812	1.192057	1	30	2	18	n/a	n/a	n/a
161924.7817	1.1919426	1	31	2	24	n/a	n/a	n/a
161925.9819	1.1922716	1	32	2	21	n/a	n/a	n/a
161927.1825	1.1919559	1	33	2	6	n/a	n/a	n/a
161928.3828	1.1919574	1	34	2	18	n/a	n/a	n/a
161929.5832	1.2004243	1	35	2	13	n/a	n/a	n/a
161930.792	1.1920032	1	36	2	3	n/a	n/a	n/a
161931.9924	1.1919382	1	37	2	24	n/a	n/a	n/a
161933.1927	1.1920156	1	38	2	11	n/a	n/a	n/a
161934.3932	1.1919925	1	39	2	9	n/a	n/a	n/a
161935.5936	1.1920101	1	40	2	5	n/a	n/a	n/a
161936.7939	1.192193	1	41	2	19	n/a	n/a	n/a
161937.9944	1.1919124	1	42	2	4	n/a	n/a	n/a
161939.1948	1.1918939	1	43	2	11	n/a	n/a	n/a
161940.3951	1.1920013	1	44	2	2	n/a	n/a	n/a
161941.5956	1.191968	1	45	2	3	n/a	n/a	n/a
161942.796	1.1919093	1	46	2	20	n/a	n/a	n/a
161943.9963	1.1919922	1	47	2	7	n/a	n/a	n/a
161945.1966	1.1920999	1	48	2	16	n/a	n/a	n/a
161946.3971	1.1920572	1	49	2	10	n/a	n/a	n/a
161947.5974	1.192096	1	50	2	22	n/a	n/a	n/a
161948.7978	1.1920915	1	51	2	12	n/a	n/a	n/a
161949.9983	5.9935614	1	52	1	13	n/a	n/a	n/a
161956.0002	1.1920908	1	53	3	n/a	1	3	n/a
161957.209	1.1919419	1	54	3	n/a	3	17	n/a
161958.4095	1.1920413	1	55	3	n/a	3	8	n/a
161959.6098	1.191996	1	56	3	n/a	3	5	n/a
161960.8186	1.1920094	1	57	3	n/a	3	10	n/a
161962.0189	1.1920342	1	58	3	n/a	1	11	n/a
